"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"189"	"155"	"5"	"184"	"170"	"114"	"7"	"9"	"12"	"9"	"22"	"16"	"19"	"567"	""	"567"	""
"190"	"156"	"3"	"332"	"74"	"39"	"1"	"1"	"5"	"0"	"8"	"3"	"6"	"472"	""	"472"	""
"191"	"157"	"7"	"230"	"100"	"40"	"1"	"2"	"3"	"1"	"2"	"2"	"1"	"389"	""	"389"	""
"192"	"158"	"46"	"16"	"77"	"109"	"4"	"9"	"6"	"10"	"2"	"6"	"16"	"301"	""	"301"	""
"193"	"159"	"49"	"327"	"59"	"115"	"7"	"7"	"17"	"8"	"9"	"9"	"3"	"610"	""	"610"	""
"194"	"160"	"21"	"266"	"56"	"80"	"21"	"8"	"17"	"8"	"16"	"16"	"17"	"526"	""	"526"	""
"195"	"161"	"50"	"37"	"193"	"127"	"8"	"11"	"5"	"22"	"8"	"11"	"21"	"493"	""	"493"	""
"196"	"162"	"32"	"86"	"95"	"231"	"12"	"17"	"14"	"16"	"10"	"15"	"14"	"542"	""	"542"	""
"197"	"163"	"6"	"53"	"85"	"25"	"6"	"2"	"3"	"1"	"4"	"7"	"4"	"196"	""	"196"	""
"198"	"164"	"10"	"69"	"246"	"160"	"8"	"18"	"10"	"10"	"18"	"21"	"35"	"605"	""	"605"	""
"199"	"165"	"1"	"43"	"180"	"74"	"5"	"0"	"2"	"2"	"2"	"2"	"1"	"312"	""	"312"	""
"200"	"166"	"2"	"61"	"68"	"55"	"1"	"2"	"6"	"3"	"2"	"5"	"3"	"208"	""	"208"	""
"201"	"167"	"3"	"177"	"62"	"43"	"2"	"3"	"6"	"1"	"8"	"3"	"2"	"310"	""	"310"	""
"202"	"168"	"33"	"69"	"84"	"221"	"10"	"18"	"9"	"11"	"11"	"13"	"18"	"497"	""	"497"	""
"203"	"Grand
Total"	"268"	"1950"	"1549"	"1433"	"93"	"107"	"115"	"102"	"122"	"129"	"160"	"6028"	"0"	"6028"	"0"
"204"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"205"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"206"	"169"	"26"	"94"	"88"	"163"	"8"	"23"	"22"	"10"	"14"	"31"	"19"	"498"	""	"498"	""
"207"	"170"	"16"	"45"	"211"	"64"	"13"	"3"	"3"	"3"	"3"	"8"	"3"	"372"	""	"372"	""
"208"	"171"	"5"	"28"	"130"	"68"	"3"	"8"	"4"	"3"	"1"	"6"	"2"	"258"	""	"258"	""
"209"	"172"	"15"	"106"	"113"	"219"	"18"	"24"	"16"	"19"	"9"	"14"	"20"	"573"	""	"573"	""
"210"	"173"	"5"	"87"	"34"	"119"	"4"	"16"	"7"	"9"	"6"	"9"	"6"	"302"	""	"302"	""
"211"	"174"	"5"	"70"	"35"	"229"	"3"	"7"	"1"	"1"	"2"	"4"	"1"	"358"	""	"358"	""
"212"	"175"	"20"	"6"	"61"	"188"	"1"	"7"	"0"	"0"	"0"	"4"	"0"	"287"	""	"287"	""
"213"	"176"	"23"	"34"	"77"	"259"	"4"	"19"	"7"	"13"	"6"	"27"	"24"	"493"	""	"493"	""
"214"	"177"	"17"	"82"	"106"	"162"	"8"	"13"	"25"	"16"	"7"	"24"	"20"	"480"	""	"480"	""
"215"	"178"	"8"	"458"	"56"	"38"	"3"	"2"	"3"	"0"	"7"	"3"	"3"	"581"	""	"581"	""
"216"	"179"	"17"	"231"	"182"	"113"	"12"	"15"	"9"	"12"	"11"	"9"	"14"	"625"	""	"625"	""
"217"	"180"	"4"	"5"	"9"	"82"	"4"	"7"	"2"	"2"	"2"	"9"	"2"	"128"	""	"128"	""
"218"	"181"	"26"	"236"	"140"	"60"	"6"	"14"	"25"	"14"	"11"	"11"	"17"	"560"	""	"560"	""
"219"	"182"	"11"	"150"	"234"	"210"	"22"	"11"	"16"	"11"	"9"	"19"	"23"	"716"	""	"716"	""
"220"	"Grand
Total"	"198"	"1632"	"1476"	"1974"	"109"	"169"	"140"	"113"	"88"	"178"	"154"	"6231"	"0"	"6231"	"0"
"221"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"222"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"223"	"183"	"5"	"84"	"365"	"151"	"34"	"0"	"1"	"3"	"4"	"5"	"3"	"655"	""	"655"	""
"224"	"184"	"7"	"139"	"33"	"197"	"6"	"10"	"7"	"4"	"3"	"9"	"5"	"420"	""	"420"	""
"225"	"185"	"12"	"123"	"105"	"238"	"35"	"13"	"24"	"73"	"20"	"32"	"27"	"702"	""	"702"	""
"226"	"186"	"5"	"127"	"13"	"51"	"36"	"5"	"10"	"3"	"3"	"4"	"4"	"261"	""	"261"	""
"227"	"187"	"10"	"258"	"58"	"123"	"11"	"10"	"20"	"9"	"9"	"6"	"8"	"522"	""	"522"	""
"228"	"188"	"9"	"97"	"83"	"156"	"7"	"7"	"15"	"69"	"6"	"8"	"20"	"477"	""	"477"	""
"229"	"189"	"7"	"163"	"54"	"194"	"13"	"5"	"12"	"10"	"2"	"9"	"8"	"477"	""	"477"	""
"230"	"190"	"3"	"44"	"142"	"122"	"3"	"2"	"4"	"4"	"3"	"4"	"6"	"337"	""	"337"	""
"231"	"191"	"13"	"36"	"239"	"68"	"3"	"3"	"7"	"4"	"4"	"7"	"13"	"397"	""	"397"	""
"232"	"192"	"15"	"69"	"238"	"229"	"19"	"13"	"4"	"3"	"2"	"7"	"9"	"608"	""	"608"	""
"233"	"193"	"8"	"128"	"112"	"204"	"7"	"14"	"12"	"7"	"10"	"6"	"11"	"519"	""	"519"	""
"234"	"194"	"37"	"14"	"24"	"217"	"20"	"7"	"4"	"11"	"2"	"12"	"19"	"367"	""	"367"	""
"235"	"195"	"22"	"53"	"148"	"149"	"3"	"10"	"1"	"4"	"1"	"7"	"4"	"402"	""	"402"	""
"236"	"196"	"7"	"27"	"131"	"241"	"8"	"9"	"5"	"5"	"2"	"6"	"11"	"452"	""	"452"	""
"237"	"Grand
Total"	"160"	"1362"	"1745"	"2340"	"205"	"108"	"126"	"209"	"71"	"122"	"148"	"6596"	"0"	"6596"	"0"
"238"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"239"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"240"	"197"	"31"	"61"	"216"	"42"	"9"	"1"	"4"	"1"	"0"	"3"	"4"	"372"	""	"372"	""
"241"	"198"	"25"	"21"	"199"	"95"	"5"	"7"	"3"	"2"	"6"	"8"	"3"	"374"	""	"374"	""
"242"	"199"	"26"	"63"	"123"	"137"	"8"	"7"	"5"	"4"	"5"	"10"	"13"	"401"	""	"401"	""
"243"	"200"	"80"	"97"	"184"	"151"	"4"	"10"	"7"	"11"	"6"	"9"	"10"	"569"	""	"569"	""
"244"	"201"	"164"	"23"	"87"	"322"	"8"	"8"	"1"	"9"	"4"	"3"	"4"	"633"	""	"633"	""
"245"	"202"	"42"	"5"	"10"	"158"	"4"	"6"	"1"	"0"	"0"	"3"	"0"	"229"	""	"229"	""
"246"	"203"	"31"	"64"	"50"	"169"	"30"	"17"	"36"	"13"	"14"	"19"	"27"	"470"	""	"470"	""
"247"	"204"	"9"	"53"	"53"	"198"	"14"	"18"	"15"	"24"	"13"	"24"	"29"	"450"	""	"450"	""
"248"	"205"	"14"	"123"	"67"	"198"	"15"	"18"	"84"	"4"	"9"	"18"	"10"	"560"	""	"560"	""
"249"	"206"	"10"	"53"	"132"	"219"	"6"	"10"	"13"	"16"	"9"	"29"	"21"	"518"	""	"518"	""
"250"	"207"	"7"	"73"	"191"	"151"	"19"	"13"	"12"	"7"	"4"	"15"	"17"	"509"	""	"509"	""
"251"	"208"	"15"	"32"	"241"	"131"	"1"	"8"	"3"	"3"	"4"	"13"	"12"	"463"	""	"463"	""
"252"	"209"	"5"	"9"	"123"	"110"	"27"	"11"	"0"	"0"	"5"	"8"	"3"	"301"	""	"301"	""
"253"	"210"	"7"	"2"	"101"	"118"	"13"	"1"	"0"	"4"	"0"	"3"	"6"	"255"	""	"255"	""
"254"	"Grand
Total"	"466"	"679"	"1777"	"2199"	"163"	"135"	"184"	"98"	"79"	"165"	"159"	"6104"	"0"	"6104"	"0"
"255"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"256"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"257"	"211"	"1"	"16"	"623"	"15"	"9"	"3"	"1"	"0"	"0"	"7"	"0"	"675"	""	"675"	""
"258"	"212"	"22"	"10"	"229"	"105"	"17"	"6"	"4"	"8"	"5"	"6"	"38"	"450"	""	"450"	""
"259"	"213"	"0"	"15"	"240"	"89"	"8"	"12"	"1"	"2"	"1"	"2"	"5"	"375"	""	"375"	""
"260"	"214"	"34"	"15"	"87"	"99"	"4"	"7"	"3"	"2"	"5"	"1"	"5"	"262"	""	"262"	""
"261"	"215"	"4"	"198"	"63"	"124"	"2"	"4"	"7"	"4"	"4"	"5"	"7"	"422"	""	"422"	""
"262"	"216"	"26"	"1"	"17"	"295"	"4"	"5"	"1"	"4"	"1"	"4"	"6"	"364"	""	"364"	""
"263"	"217"	"28"	"3"	"272"	"71"	"3"	"10"	"2"	"0"	"2"	"2"	"10"	"403"	""	"403"	""
"264"	"218"	"5"	"34"	"234"	"159"	"2"	"12"	"4"	"6"	"4"	"8"	"7"	"475"	""	"475"	""
"265"	"219"	"46"	"50"	"74"	"358"	"17"	"15"	"7"	"15"	"2"	"11"	"6"	"601"	""	"601"	""
"266"	"220"	"16"	"18"	"161"	"80"	"10"	"12"	"3"	"2"	"0"	"5"	"4"	"311"	""	"311"	""
"267"	"221"	"12"	"39"	"162"	"201"	"12"	"28"	"11"	"30"	"5"	"10"	"13"	"523"	""	"523"	""
"268"	"222"	"18"	"53"	"55"	"225"	"14"	"11"	"6"	"7"	"5"	"3"	"10"	"407"	""	"407"	""
"269"	"223"	"5"	"5"	"78"	"274"	"9"	"13"	"1"	"8"	"2"	"14"	"20"	"429"	""	"429"	""
"270"	"224"	"28"	"133"	"258"	"146"	"13"	"10"	"10"	"8"	"11"	"26"	"17"	"660"	""	"660"	""
"271"	"Grand
Total"	"245"	"590"	"2553"	"2241"	"124"	"148"	"61"	"96"	"47"	"104"	"148"	"6357"	"0"	"ur Totals"	"0"
