"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X245026.74.245100.38.Jhanjharpur"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"80"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"81"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"83"	"B.F."	"8538"	"13627"	"747"	"529"	"921"	"162"	"184"	"389"	"216"	"484"	"952"	"26749"	"0"	"26749"	""
"84"	"55"	"354"	"314"	"10"	"8"	"15"	"7"	"1"	"4"	"3"	"9"	"9"	"734"	""	"734"	""
"85"	"56"	"72"	"367"	"2"	"3"	"12"	"1"	"1"	"2"	"3"	"8"	"19"	"490"	""	"490"	""
"86"	"57"	"88"	"461"	"5"	"4"	"6"	"2"	"2"	"8"	"11"	"11"	"21"	"619"	""	"619"	""
"87"	"58"	"195"	"379"	"10"	"9"	"16"	"6"	"3"	"6"	"3"	"12"	"18"	"657"	""	"657"	""
"88"	"59"	"158"	"493"	"4"	"12"	"6"	"2"	"5"	"3"	"0"	"4"	"13"	"700"	""	"700"	""
"89"	"60"	"91"	"486"	"11"	"7"	"15"	"5"	"1"	"12"	"13"	"14"	"38"	"693"	""	"693"	""
"90"	"61"	"273"	"272"	"18"	"10"	"6"	"3"	"3"	"6"	"6"	"3"	"17"	"617"	""	"617"	""
"91"	"62"	"61"	"443"	"8"	"0"	"7"	"3"	"0"	"8"	"5"	"9"	"25"	"569"	""	"569"	""
"92"	"63"	"206"	"339"	"3"	"3"	"6"	"1"	"2"	"2"	"2"	"6"	"9"	"579"	""	"579"	""
"93"	"64"	"290"	"196"	"8"	"3"	"5"	"0"	"3"	"4"	"4"	"5"	"20"	"538"	""	"538"	""
"94"	"65"	"363"	"297"	"7"	"4"	"5"	"9"	"4"	"4"	"13"	"23"	"38"	"767"	""	"767"	""
"95"	"66"	"156"	"223"	"4"	"13"	"5"	"6"	"2"	"8"	"6"	"10"	"22"	"455"	""	"455"	""
"96"	"67"	"165"	"228"	"4"	"4"	"5"	"6"	"0"	"15"	"9"	"8"	"10"	"454"	""	"454"	""
"97"	"68"	"279"	"296"	"10"	"10"	"6"	"5"	"6"	"8"	"4"	"7"	"18"	"649"	""	"649"	""
"98"	"Total -5"	"11289"	"18421"	"851"	"619"	"1036"	"218"	"217"	"479"	"298"	"613"	"1229"	"35270"	"0"	"35270"	"0"
"99"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"100"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"103"	"B.F."	"11289"	"18421"	"851"	"619"	"1036"	"218"	"217"	"479"	"298"	"613"	"1229"	"35270"	"0"	"35270"	""
"104"	"69"	"108"	"212"	"2"	"3"	"4"	"0"	"0"	"0"	"2"	"2"	"5"	"338"	""	"338"	""
"105"	"70"	"296"	"271"	"5"	"11"	"10"	"7"	"8"	"18"	"6"	"11"	"24"	"667"	""	"667"	""
"106"	"71"	"262"	"264"	"5"	"3"	"8"	"4"	"3"	"5"	"3"	"6"	"15"	"578"	""	"578"	""
"107"	"72"	"147"	"386"	"7"	"6"	"27"	"1"	"4"	"7"	"12"	"9"	"7"	"613"	""	"613"	""
"108"	"73"	"297"	"181"	"11"	"3"	"7"	"3"	"5"	"7"	"1"	"21"	"9"	"545"	""	"545"	""
"109"	"74"	"87"	"184"	"2"	"2"	"9"	"1"	"2"	"4"	"2"	"55"	"27"	"375"	""	"375"	""
"110"	"75"	"200"	"139"	"8"	"9"	"4"	"3"	"2"	"11"	"9"	"47"	"17"	"449"	""	"449"	""
"111"	"76"	"200"	"321"	"13"	"20"	"8"	"17"	"9"	"42"	"29"	"16"	"30"	"705"	""	"705"	""
"112"	"77"	"187"	"217"	"10"	"14"	"22"	"11"	"7"	"5"	"13"	"45"	"29"	"560"	""	"560"	""
"113"	"78"	"236"	"217"	"11"	"7"	"14"	"4"	"7"	"1"	"16"	"9"	"21"	"543"	""	"543"	""
"114"	"79"	"211"	"305"	"10"	"10"	"6"	"5"	"2"	"8"	"4"	"6"	"18"	"585"	""	"585"	""
"115"	"80"	"70"	"282"	"4"	"7"	"4"	"1"	"0"	"9"	"7"	"7"	"14"	"405"	""	"405"	""
"116"	"81"	"160"	"289"	"5"	"3"	"6"	"6"	"2"	"5"	"5"	"5"	"5"	"491"	""	"491"	""
"117"	"82"	"142"	"124"	"6"	"0"	"7"	"3"	"3"	"2"	"1"	"4"	"16"	"308"	""	"308"	""
"118"	"Total -6"	"13892"	"21813"	"950"	"717"	"1172"	"284"	"271"	"603"	"408"	"856"	"1466"	"42432"	"0"	"42432"	"0"
"119"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"120"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"123"	"B.F."	"13892"	"21813"	"950"	"717"	"1172"	"284"	"271"	"603"	"408"	"856"	"1466"	"42432"	"0"	"42432"	""
"124"	"83"	"172"	"332"	"8"	"7"	"3"	"9"	"6"	"7"	"7"	"12"	"24"	"587"	""	"587"	""
"125"	"84"	"319"	"118"	"4"	"0"	"5"	"1"	"3"	"1"	"0"	"1"	"17"	"469"	""	"469"	""
"126"	"85"	"222"	"96"	"3"	"2"	"5"	"1"	"3"	"6"	"5"	"9"	"144"	"496"	""	"496"	""
"127"	"86"	"204"	"143"	"6"	"3"	"10"	"2"	"1"	"1"	"4"	"6"	"3"	"383"	""	"383"	""
"128"	"87"	"265"	"226"	"4"	"11"	"24"	"1"	"3"	"2"	"4"	"17"	"19"	"576"	""	"576"	""
"129"	"88"	"383"	"193"	"5"	"3"	"25"	"2"	"1"	"3"	"0"	"2"	"14"	"631"	""	"631"	""
"130"	"89"	"190"	"211"	"6"	"9"	"8"	"1"	"4"	"4"	"11"	"13"	"24"	"481"	""	"481"	""
"131"	"90"	"134"	"62"	"0"	"5"	"2"	"2"	"1"	"1"	"2"	"3"	"0"	"212"	""	"212"	""
"132"	"91"	"158"	"133"	"6"	"3"	"0"	"2"	"1"	"1"	"2"	"1"	"9"	"316"	""	"316"	""
"133"	"92"	"65"	"141"	"1"	"9"	"6"	"3"	"1"	"2"	"5"	"1"	"7"	"241"	""	"241"	""
"134"	"93"	"157"	"150"	"7"	"2"	"4"	"0"	"2"	"5"	"1"	"1"	"7"	"336"	""	"336"	""
"135"	"94"	"235"	"376"	"7"	"1"	"85"	"2"	"1"	"6"	"0"	"3"	"14"	"730"	""	"730"	""
"136"	"95"	"229"	"198"	"5"	"6"	"29"	"1"	"3"	"1"	"2"	"4"	"10"	"488"	""	"488"	""
"137"	"96"	"83"	"225"	"3"	"7"	"94"	"5"	"7"	"6"	"3"	"6"	"6"	"445"	""	"445"	""
"138"	"Total -7"	"16708"	"24417"	"1015"	"785"	"1472"	"316"	"308"	"649"	"454"	"935"	"1764"	"48823"	"0"	"48823"	"0"
"139"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"142"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"143"	"B.F."	"16708"	"24417"	"1015"	"785"	"1472"	"316"	"308"	"649"	"454"	"935"	"1764"	"48823"	"0"	"48823"	""
"144"	"97"	"267"	"289"	"10"	"10"	"38"	"9"	"7"	"18"	"10"	"6"	"10"	"674"	""	"674"	""
"145"	"98"	"305"	"147"	"10"	"14"	"90"	"7"	"7"	"9"	"5"	"6"	"9"	"609"	""	"609"	""
"146"	"99"	"151"	"271"	"4"	"12"	"133"	"5"	"6"	"7"	"2"	"4"	"8"	"603"	""	"603"	""
"147"	"100"	"68"	"227"	"6"	"5"	"65"	"2"	"1"	"11"	"3"	"5"	"10"	"403"	""	"403"	""
"148"	"101"	"199"	"161"	"7"	"11"	"48"	"4"	"2"	"7"	"7"	"8"	"34"	"488"	""	"488"	""
"149"	"102"	"51"	"260"	"2"	"6"	"5"	"1"	"0"	"1"	"3"	"13"	"8"	"350"	""	"350"	""
"150"	"103"	"46"	"212"	"4"	"1"	"15"	"0"	"2"	"3"	"2"	"6"	"16"	"307"	""	"307"	""
"151"	"104"	"113"	"174"	"6"	"6"	"30"	"0"	"1"	"1"	"2"	"3"	"18"	"354"	""	"354"	""
"152"	"105"	"34"	"235"	"4"	"4"	"6"	"2"	"3"	"4"	"1"	"11"	"14"	"318"	""	"318"	""
"153"	"106"	"41"	"288"	"7"	"7"	"8"	"6"	"2"	"3"	"5"	"4"	"7"	"378"	""	"378"	""
