"BOOTH.NO."	"CHANDRASHEKHAR"	"DR..RAMENDRA.KUMAR.YADAV.RAVI"	"RAJENDRA.DAS"	"RAJESH.KUMAR.RAJNISH"	"NAWAL.KISHOR.SINGH"	"RAJ.KUMAR"	"SHASHI.SHEKHAR.YADAV"	"SURESH.KUMAR"	"SWATI.PRIYA"
"252"	228	237	66	5	9	4	4	4	10	17
"253"	NA	184	235	11	8	13	5	8	49	17
"254"	229	302	175	8	4	9	7	4	33	13
"255"	230	175	179	4	7	8	1	4	32	11
"256"	231	364	235	3	20	13	4	8	51	16
"257"	232	356	244	7	19	62	7	9	48	14
"258"	233	297	244	13	7	14	11	8	68	53
"259"	234	508	210	8	15	15	4	5	26	5
"260"	235	269	269	6	5	10	6	0	32	10
"261"	236	574	71	15	6	12	3	2	10	22
"262"	237	537	139	5	6	9	6	4	12	15
"263"	238	235	187	5	6	7	1	5	24	10
"264"	NA	72480	60536	1424	3232	1886	770	1475	8345	3117
