"er.nku.dsUnz.l.a....k"	"csCkh.dqekj.h"	"eql.kfQj..i.kl.oku"	"j.ebZ.j.ke"	"f..koukFk.i.kl.oku"	"l.gnso.j.ke"	"egsUnz.i.kl.oku"	"j.fo...kadj.i.kl.oku"	"j.ke.dqekj..j.t.d"	"j.ke.uanu.i.kl.oku"	"j.s..kk.dqekj.h"	"foUns..oj..i.kl.oku"	"X..k.q.ku.i.kl.oku"	"X..kadj..ek.h"	"f..koukFk.pkS.kj.h"	"dqy..fof.kekU..er"	"i.zfr..ksfi.r..er.ksa.dh.l.a....k"	"fufonr..er.ksa.dh.l.a....k"
"153"	141	23	30	373	5	2	4	4	7	10	4	5	10	14	36	527	NA	NA
"154"	142	33	55	280	10	1	4	10	7	20	2	1	3	7	13	446	NA	NA
"155"	143	19	114	198	7	6	12	21	11	101	3	6	9	17	24	548	NA	NA
"156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	144	32	89	180	3	0	1	4	5	10	3	2	3	31	13	376	NA	NA
"158"	145	16	111	386	14	4	11	10	13	46	8	14	17	46	39	735	NA	NA
"159"	146	16	456	190	4	0	5	2	3	14	1	1	2	16	6	716	NA	NA
"160"	147	15	326	239	7	3	6	6	6	7	2	8	8	38	23	694	NA	NA
"161"	148	18	422	143	3	3	2	2	1	14	5	4	5	25	17	664	NA	NA
"162"	149	4	96	179	0	2	3	5	3	4	2	3	3	14	24	342	NA	NA
"163"	150	11	170	242	6	0	3	2	2	2	1	3	2	25	22	491	NA	NA
"164"	151	31	84	348	10	2	1	5	2	6	5	5	10	14	20	543	NA	NA
"165"	152	7	113	187	2	2	3	1	5	3	2	0	0	6	11	342	NA	NA
"166"	153	50	159	323	8	2	14	9	4	10	4	4	12	28	22	649	NA	NA
"167"	154	90	220	78	7	1	6	5	7	9	5	3	3	12	20	466	NA	NA
"168"	155	21	101	85	2	3	6	13	7	34	3	0	2	6	7	290	NA	NA
"169"	156	4	122	56	0	3	2	0	4	1	0	1	0	5	7	205	NA	NA
"170"	157	27	96	156	4	0	5	7	2	6	1	1	3	10	6	324	NA	NA
"171"	158	20	320	128	0	0	1	5	3	4	3	2	3	39	14	542	NA	NA
"172"	159	19	335	221	7	3	3	0	5	11	4	3	4	20	7	642	NA	NA
"173"	160	27	204	253	3	2	5	4	7	19	6	4	6	33	22	595	NA	NA
"174"	161	16	113	303	6	1	1	0	6	29	3	7	7	14	8	514	NA	NA
"175"	162	26	196	226	9	4	5	3	5	8	3	1	5	32	4	527	NA	NA
"176"	163	22	98	700	7	5	8	6	12	8	1	4	10	14	26	921	NA	NA
"177"	164	14	256	279	3	2	3	5	4	6	2	8	9	17	24	632	NA	NA
"178"	165	17	178	432	2	7	8	13	10	17	2	5	5	13	9	718	NA	NA
"179"	166	7	135	455	6	5	10	10	7	21	5	8	1	19	31	720	NA	NA
"180"	167	27	166	348	6	5	8	13	4	52	6	3	5	13	16	672	NA	NA
"181"	168	18	265	463	4	1	6	0	7	4	3	7	13	22	73	886	NA	NA
"182"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	169	14	103	139	2	1	2	3	8	2	1	6	4	9	70	364	NA	NA
"184"	170	6	133	297	4	1	6	0	4	1	1	2	4	12	11	482	NA	NA
"185"	171	14	201	391	5	10	9	4	9	5	5	9	4	30	89	785	NA	NA
"186"	172	28	160	537	6	2	7	6	11	38	8	5	10	22	46	886	NA	NA
"187"	173	5	37	121	0	1	1	1	2	10	0	3	5	4	13	203	NA	NA
"188"	174	35	183	466	9	7	6	16	11	28	9	3	3	6	60	842	NA	NA
"189"	175	21	329	271	5	2	5	6	10	23	4	6	12	36	62	792	NA	NA
"190"	176	56	51	240	5	5	8	11	6	31	5	6	2	38	33	497	NA	NA
"191"	177	15	106	170	2	2	6	11	11	69	3	4	5	14	15	433	NA	NA
"192"	178	28	207	141	1	2	1	2	2	31	2	0	1	7	15	440	NA	NA
"193"	179	16	221	412	6	2	15	11	6	41	2	6	5	12	27	782	NA	NA
"194"	180	19	521	144	7	3	9	6	6	3	2	1	2	27	12	762	NA	NA
"195"	181	20	158	196	6	3	3	7	5	19	2	0	5	10	37	471	NA	NA
"196"	182	9	149	175	4	1	1	2	5	5	0	1	3	11	12	378	NA	NA
"197"	183	53	324	130	4	2	6	1	3	10	7	5	2	29	26	602	NA	NA
"198"	184	20	196	45	0	0	0	0	0	4	0	0	1	11	3	280	NA	NA
"199"	185	20	235	198	3	2	0	0	2	6	1	4	1	17	12	501	NA	NA
"200"	186	50	232	291	8	2	3	1	7	4	0	1	4	24	16	643	NA	NA
"201"	187	51	280	96	0	1	8	0	3	2	1	5	1	36	16	500	NA	NA
"202"	188	10	381	124	3	1	9	4	3	12	2	5	2	34	12	602	NA	NA
"203"	189	25	320	134	3	1	3	2	3	4	1	2	5	24	29	556	NA	NA
"204"	190	26	182	151	9	7	10	21	5	123	3	3	4	25	29	598	NA	NA
"205"	191	22	110	128	5	2	3	8	3	18	3	7	4	13	24	350	NA	NA
"206"	192	12	174	292	6	4	6	14	5	7	2	6	6	19	33	586	NA	NA
"207"	193	24	184	143	7	2	6	2	2	12	3	2	3	12	26	428	NA	NA
"208"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	194	22	98	474	7	3	5	5	3	33	5	6	3	15	29	708	NA	NA
"210"	195	60	170	306	2	1	8	1	4	6	0	6	5	11	10	590	NA	NA
"211"	196	17	299	271	2	2	9	9	6	37	1	8	7	34	24	726	NA	NA
"212"	197	7	144	180	2	0	4	2	2	3	1	0	1	9	3	358	NA	NA
"213"	198	24	107	513	5	3	7	6	5	36	2	1	1	5	6	721	NA	NA
"214"	199	16	307	246	7	1	3	2	3	14	3	0	1	10	8	621	NA	NA
"215"	200	17	247	180	3	1	4	3	2	4	2	5	3	4	10	485	NA	NA
"216"	201	41	222	320	3	5	21	13	10	13	2	7	12	15	18	702	NA	NA
"217"	202	19	367	222	3	3	11	19	6	72	2	4	4	25	16	773	NA	NA
"218"	203	17	224	290	7	2	5	16	9	57	11	10	14	34	38	734	NA	NA
"219"	204	13	182	184	3	3	7	3	1	14	2	3	3	8	5	431	NA	NA
"220"	205	25	69	402	6	3	5	5	5	33	1	5	8	16	33	616	NA	NA
"221"	206	44	95	403	4	4	6	6	11	19	2	2	5	10	15	626	NA	NA
"222"	NA	5289	37758	61884	952	462	918	1099	1067	2725	521	848	1126	3703	3987	122339	NA	NA
"223"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"224"	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
"225"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"226"	NA	5289	37758	61885	952	462	918	1099	1067	2725	521	848	1126	3703	3987	122340	169	NA
"227"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"228"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"230"	40506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"231"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
