"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"212"	"193"	"305"	"35"	"1"	"110"	"12"	"14"	"6"	"14"	"25"	"522"	"0"	"522"	"0"
"213"	"194"	"442"	"50"	"7"	"28"	"11"	"11"	"4"	"15"	"20"	"588"	"0"	"588"	"0"
"214"	"195"	"200"	"27"	"5"	"98"	"16"	"6"	"9"	"64"	"14"	"439"	"0"	"439"	"0"
"215"	"196"	"79"	"18"	"2"	"168"	"11"	"9"	"12"	"80"	"10"	"389"	"0"	"389"	"0"
"216"	"197"	"137"	"5"	"12"	"283"	"19"	"11"	"4"	"58"	"7"	"536"	"0"	"536"	"0"
"217"	"198"	"75"	"3"	"1"	"80"	"3"	"9"	"2"	"7"	"9"	"189"	"0"	"189"	"0"
"218"	"199"	"180"	"10"	"2"	"305"	"11"	"11"	"14"	"47"	"12"	"592"	"0"	"592"	"0"
"219"	"200"	"162"	"8"	"0"	"74"	"5"	"1"	"3"	"22"	"7"	"282"	"0"	"282"	"0"
"220"	"201"	"314"	"11"	"12"	"71"	"4"	"3"	"5"	"40"	"11"	"471"	"0"	"471"	"0"
"221"	"202"	"144"	"6"	"7"	"42"	"7"	"1"	"4"	"5"	"14"	"230"	"0"	"230"	"0"
"222"	"203"	"148"	"31"	"3"	"91"	"3"	"5"	"3"	"60"	"18"	"362"	"0"	"362"	"0"
"223"	"204"	"61"	"5"	"3"	"102"	"8"	"7"	"8"	"67"	"19"	"280"	"0"	"280"	"0"
"224"	"205"	"221"	"17"	"5"	"28"	"2"	"1"	"0"	"6"	"5"	"285"	"0"	"285"	"0"
"225"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"226"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"227"	"206"	"309"	"12"	"5"	"59"	"4"	"5"	"4"	"2"	"7"	"407"	"0"	"407"	"0"
"228"	"207"	"304"	"8"	"26"	"110"	"10"	"3"	"12"	"16"	"28"	"517"	"0"	"517"	"0"
"229"	"208"	"316"	"4"	"8"	"247"	"10"	"5"	"2"	"12"	"8"	"612"	"0"	"612"	"0"
"230"	"209"	"157"	"7"	"11"	"170"	"91"	"3"	"1"	"7"	"11"	"458"	"0"	"458"	"0"
"231"	"210"	"178"	"30"	"11"	"58"	"4"	"6"	"5"	"6"	"9"	"307"	"0"	"307"	"0"
"232"	"211"	"147"	"30"	"41"	"95"	"8"	"5"	"8"	"4"	"7"	"345"	"0"	"345"	"0"
"233"	"212"	"245"	"12"	"13"	"79"	"10"	"16"	"5"	"3"	"17"	"400"	"0"	"400"	"0"
"234"	"213"	"227"	"1"	"3"	"47"	"2"	"2"	"0"	"3"	"7"	"292"	"0"	"292"	"0"
"235"	"214"	"279"	"42"	"3"	"31"	"4"	"5"	"6"	"117"	"11"	"498"	"0"	"498"	"0"
"236"	"215"	"267"	"2"	"2"	"31"	"6"	"4"	"2"	"50"	"7"	"371"	"0"	"371"	"0"
"237"	"216"	"256"	"11"	"1"	"25"	"2"	"2"	"5"	"84"	"7"	"393"	"0"	"393"	"0"
"238"	"217"	"173"	"108"	"6"	"140"	"9"	"5"	"6"	"4"	"11"	"462"	"0"	"462"	"0"
"239"	"218"	"158"	"207"	"17"	"97"	"3"	"6"	"5"	"8"	"10"	"511"	"0"	"511"	"0"
"240"	"219"	"236"	"30"	"10"	"94"	"25"	"7"	"16"	"48"	"15"	"481"	"0"	"481"	"0"
"241"	"220"	"166"	"100"	"12"	"227"	"32"	"18"	"10"	"70"	"36"	"671"	"0"	"671"	"0"
"242"	"221"	"128"	"10"	"2"	"108"	"7"	"3"	"2"	"0"	"4"	"264"	"0"	"264"	"0"
"243"	"222"	"183"	"30"	"2"	"164"	"5"	"6"	"19"	"1"	"8"	"418"	"0"	"418"	"0"
"244"	"223"	"237"	"5"	"2"	"116"	"7"	"4"	"6"	"5"	"6"	"388"	"0"	"388"	"0"
"245"	"224"	"418"	"22"	"14"	"83"	"3"	"0"	"3"	"3"	"5"	"551"	"0"	"551"	"0"
"246"	"225"	"466"	"33"	"5"	"141"	"8"	"0"	"7"	"4"	"23"	"687"	"0"	"687"	"0"
"247"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"248"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"249"	"No. of votes recorded on postal ballot
papers"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	""	"4"	"0"
"250"	"Total"	"51564"	"2646"	"4258"	"42610"	"4177"	"1769"	"1431"	"4511"	"4009"	"116975"	"0"	"116975"	"0"
"251"	"Place : A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Date : 24th November 2010                                                                                                                                                    Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
