"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahas.eth"	"Sitaram.Yadav"	"S..Abu.Daujan.a"	"Chitara.njan.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandrik.a.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"194"	"82"	"3"	"102"	"125"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"319"
"210"	"195"	"21"	"1"	"12"	"257"	"5"	"1"	"2"	"3"	"0"	"2"	"1"	"1"	"3"	"309"
"211"	"196"	"45"	"3"	"11"	"168"	"7"	"3"	"3"	"4"	"0"	"1"	"0"	"5"	"10"	"260"
"212"	"197"	"25"	"1"	"22"	"104"	"7"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"163"
"213"	"198"	"122"	"2"	"25"	"99"	"6"	"5"	"3"	"14"	"4"	"1"	"3"	"1"	"4"	"289"
"214"	"199"	"4"	"1"	"5"	"136"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"151"
"215"	"200"	"409"	"8"	"48"	"106"	"2"	"3"	"4"	"8"	"2"	"2"	"0"	"1"	"0"	"593"
"216"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahas eth"	"Sitaram Yadav"	"S. Abu Daujan
a"	"Chitara njan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrik a Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"217"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"220"	"201"	"106"	"7"	"72"	"119"	"9"	"0"	"1"	"15"	"2"	"2"	"4"	"0"	"1"	"338"
"221"	"202"	"220"	"4"	"190"	"142"	"6"	"4"	"4"	"9"	"2"	"1"	"1"	"2"	"3"	"588"
"222"	"203"	"85"	"7"	"88"	"184"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"368"
"223"	"204"	"200"	"6"	"135"	"216"	"6"	"2"	"2"	"11"	"1"	"1"	"0"	"1"	"9"	"590"
"224"	"205"	"120"	"3"	"236"	"67"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"3"	"433"
"225"	"206"	"97"	"1"	"107"	"81"	"4"	"1"	"4"	"7"	"5"	"0"	"0"	"2"	"0"	"309"
"226"	"207"	"187"	"3"	"50"	"33"	"4"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"283"
"227"	"208"	"65"	"8"	"153"	"138"	"22"	"6"	"2"	"7"	"1"	"3"	"4"	"2"	"6"	"417"
"228"	"209"	"50"	"8"	"140"	"212"	"15"	"3"	"2"	"2"	"3"	"1"	"0"	"2"	"4"	"442"
"229"	"210"	"16"	"4"	"318"	"31"	"80"	"3"	"0"	"1"	"1"	"2"	"3"	"0"	"1"	"460"
"230"	"211"	"14"	"0"	"257"	"13"	"46"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"331"
"231"	"212"	"100"	"5"	"191"	"114"	"8"	"2"	"1"	"3"	"1"	"0"	"1"	"0"	"2"	"428"
"232"	"213"	"28"	"0"	"164"	"77"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"271"
"233"	"214"	"114"	"7"	"203"	"108"	"6"	"2"	"2"	"8"	"1"	"1"	"2"	"0"	"4"	"458"
"234"	"215"	"290"	"7"	"110"	"88"	"3"	"1"	"0"	"2"	"2"	"1"	"3"	"2"	"3"	"512"
"235"	"216"	"71"	"2"	"35"	"118"	"9"	"1"	"1"	"7"	"0"	"1"	"0"	"2"	"6"	"253"
"236"	"217"	"101"	"5"	"72"	"18"	"2"	"0"	"2"	"3"	"1"	"0"	"1"	"0"	"1"	"206"
"237"	"218"	"92"	"3"	"156"	"38"	"16"	"2"	"1"	"6"	"1"	"0"	"2"	"3"	"1"	"321"
"238"	"219"	"110"	"2"	"84"	"74"	"77"	"2"	"3"	"3"	"1"	"1"	"0"	"1"	"1"	"359"
"239"	"220"	"101"	"3"	"78"	"126"	"17"	"4"	"3"	"10"	"2"	"1"	"3"	"1"	"3"	"352"
"240"	"221"	"154"	"5"	"154"	"93"	"2"	"1"	"5"	"13"	"3"	"4"	"0"	"3"	"6"	"443"
"241"	"222"	"134"	"2"	"116"	"48"	"7"	"6"	"5"	"7"	"5"	"4"	"2"	"1"	"6"	"343"
"242"	"223"	"32"	"9"	"194"	"51"	"4"	"6"	"7"	"3"	"4"	"1"	"1"	"1"	"0"	"313"
"243"	"224"	"142"	"1"	"135"	"24"	"2"	"0"	"1"	"5"	"4"	"2"	"1"	"1"	"1"	"319"
"244"	"225"	"194"	"1"	"33"	"58"	"2"	"0"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"295"
"245"	"226"	"83"	"8"	"99"	"136"	"5"	"3"	"0"	"5"	"2"	"2"	"1"	"2"	"5"	"351"
"246"	"227"	"341"	"8"	"63"	"110"	"11"	"5"	"6"	"14"	"6"	"4"	"2"	"4"	"6"	"580"
"247"	"228"	"178"	"4"	"1"	"4"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"192"
"248"	"229"	"146"	"14"	"22"	"47"	"4"	"0"	"3"	"9"	"4"	"3"	"1"	"0"	"2"	"255"
"249"	"230"	"461"	"7"	"8"	"19"	"4"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"502"
"250"	"231"	"84"	"3"	"19"	"288"	"10"	"2"	"4"	"6"	"2"	"0"	"0"	"2"	"5"	"425"
"251"	"232"	"51"	"0"	"222"	"61"	"4"	"2"	"0"	"8"	"3"	"0"	"3"	"3"	"4"	"361"
"252"	"233"	"16"	"2"	"111"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"
"253"	"234"	"128"	"2"	"58"	"162"	"4"	"1"	"7"	"2"	"2"	"2"	"2"	"1"	"1"	"372"
"254"	"235"	"171"	"6"	"323"	"33"	"4"	"2"	"1"	"4"	"2"	"2"	"2"	"1"	"1"	"552"
"255"	"236"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"256"	"237"	"87"	"2"	"70"	"30"	"0"	"2"	"1"	"5"	"4"	"2"	"0"	"0"	"3"	"206"
"257"	"238"	"125"	"6"	"73"	"15"	"1"	"0"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"226"
"258"	"239"	"181"	"7"	"216"	"165"	"6"	"1"	"5"	"13"	"1"	"5"	"7"	"5"	"4"	"616"
"259"	"240"	"19"	"4"	"247"	"244"	"9"	"2"	"1"	"5"	"1"	"2"	"4"	"3"	"2"	"543"
"260"	"241"	"164"	"13"	"60"	"92"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"336"
"261"	"Total:"	"37552"	"1516"	"23221"	"21498"	"4058"	"417"	"531"	"1541"	"435"	"394"	"405"	"447"	"523"	"92538"
"262"	"Place: Sitamarhi                                                                 Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"Date: 16/05/2009                                                         Assembly Constituency :027---BAJPATTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahas eth"	"Sitaram Yadav"	"S. Abu Daujan
a"	"Chitara njan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrik a Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"265"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"268"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                   Page -1 of 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
