"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"201"	"154"	"199"	"108"	"3"	"16"	"20"	"8"	"1"	"1"	"7"	"363"	"0"	"363"	""
"202"	"155"	"98"	"249"	"11"	"361"	"16"	"10"	"8"	"6"	"30"	"789"	"0"	"789"	""
"203"	"156"	"89"	"250"	"11"	"116"	"5"	"11"	"9"	"2"	"7"	"500"	"0"	"500"	""
"204"	"157"	"63"	"409"	"11"	"110"	"9"	"16"	"8"	"7"	"15"	"648"	"0"	"648"	""
"205"	"158"	"31"	"155"	"10"	"397"	"27"	"4"	"5"	"8"	"14"	"651"	"0"	"651"	""
"206"	"159"	"12"	"12"	"1"	"81"	"1"	"1"	"3"	"1"	"1"	"113"	"0"	"113"	""
"207"	"160"	"18"	"133"	"12"	"382"	"21"	"9"	"7"	"6"	"36"	"624"	"0"	"624"	""
"208"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"209"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"210"	"161"	"66"	"125"	"9"	"110"	"8"	"4"	"2"	"4"	"3"	"331"	"0"	"331"	""
"211"	"162"	"29"	"101"	"8"	"339"	"7"	"3"	"2"	"1"	"3"	"493"	"0"	"493"	""
"212"	"163"	"59"	"179"	"9"	"248"	"98"	"19"	"6"	"18"	"32"	"668"	"0"	"668"	""
"213"	"164"	"263"	"161"	"14"	"54"	"32"	"7"	"13"	"4"	"18"	"566"	"0"	"566"	""
"214"	"165"	"82"	"297"	"12"	"247"	"20"	"9"	"9"	"10"	"19"	"705"	"0"	"705"	""
"215"	"166"	"23"	"106"	"10"	"319"	"18"	"3"	"1"	"6"	"12"	"498"	"0"	"498"	""
"216"	"167"	"8"	"135"	"9"	"265"	"21"	"9"	"9"	"5"	"27"	"488"	"0"	"488"	""
"217"	"168"	"177"	"230"	"8"	"9"	"1"	"11"	"10"	"16"	"33"	"495"	"0"	"495"	""
"218"	"169"	"90"	"261"	"18"	"240"	"13"	"7"	"7"	"1"	"13"	"650"	"0"	"650"	""
"219"	"170"	"86"	"164"	"9"	"8"	"13"	"8"	"9"	"4"	"8"	"309"	"0"	"309"	""
"220"	"170A"	"100"	"153"	"6"	"53"	"14"	"4"	"4"	"1"	"4"	"339"	"0"	"339"	""
"221"	"171"	"99"	"207"	"12"	"21"	"9"	"3"	"5"	"6"	"8"	"370"	"0"	"370"	""
"222"	"172"	"133"	"139"	"14"	"11"	"6"	"1"	"6"	"6"	"9"	"325"	"0"	"325"	""
"223"	"173"	"101"	"230"	"7"	"33"	"16"	"11"	"3"	"2"	"7"	"410"	"0"	"410"	""
"224"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"225"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"226"	"174"	"72"	"157"	"11"	"104"	"10"	"5"	"1"	"4"	"9"	"373"	"0"	"373"	""
"227"	"175"	"62"	"87"	"9"	"138"	"22"	"5"	"5"	"5"	"12"	"345"	"0"	"345"	""
"228"	"176"	"12"	"84"	"7"	"230"	"5"	"10"	"6"	"0"	"4"	"358"	"0"	"358"	""
"229"	"177"	"257"	"126"	"6"	"193"	"13"	"11"	"15"	"3"	"18"	"642"	"0"	"642"	""
"230"	"178"	"56"	"114"	"3"	"32"	"11"	"1"	"3"	"1"	"5"	"226"	"0"	"226"	""
"231"	"179"	"110"	"189"	"6"	"73"	"1"	"4"	"4"	"2"	"8"	"397"	"0"	"397"	""
"232"	"180"	"79"	"201"	"10"	"166"	"26"	"8"	"11"	"6"	"9"	"516"	"0"	"516"	""
"233"	"181"	"48"	"255"	"11"	"103"	"12"	"8"	"1"	"5"	"7"	"450"	"0"	"450"	""
"234"	"182"	"15"	"175"	"2"	"92"	"27"	"2"	"66"	"2"	"3"	"384"	"0"	"384"	""
"235"	"183"	"151"	"148"	"14"	"27"	"18"	"7"	"11"	"7"	"8"	"391"	"0"	"391"	""
"236"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"237"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"238"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k"	"15620"	"38772"	"2068"	"34386"	"2120"	"2291"	"1875"	"1106"	"2830"	"101068"	"0"	"101068"	""
"239"	"Mkd eri=ksa ij vfHkfyf[kr erksa dh la[;k ¼lHkk fuokZpu& {ks= ls fuokZpu dh n'kk esa Hkjk  tk, ½"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"240"	"Mkys x, dqy er"	"15620"	"38772"	"2068"	"34386"	"2120"	"2291"	"1875"	"1106"	"2830"	"101068"	"0"	"101068"	""
